scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
-2.41094,3320082,True,2019-08-28 18:52:50,-2.41094,True
-2.37433,3344164,True,2019-08-28 20:18:00,-2.37433,True
-2.36477,3321308,True,2019-08-28 23:55:14,-2.36477,True
-2.34422,3239833,True,2019-08-28 23:13:30,-2.34422,True
-2.30518,3399058,True,2019-08-28 16:34:47,-2.30518,True
-2.30015,3230495,True,2019-08-27 12:37:33,-2.30015,True
-2.29948,3295399,True,2019-08-23 16:49:01,-2.29948,True
-2.29788,3370854,True,2019-08-28 23:57:15,-2.29788,True
-2.28263,3364416,True,2019-08-28 20:54:16,-2.28263,True
-2.27857,3271673,True,2019-08-28 14:54:59,-2.27857,True
-2.27644,3244446,True,2019-08-28 15:43:25,-2.27644,True
-2.26777,3319448,True,2019-08-28 22:54:52,-2.26777,True
-2.24723,3482428,True,2019-08-28 03:41:01,-2.24723,True
-2.24222,3227894,True,2019-08-28 22:38:23,-2.24222,True
-2.23759,3248621,True,2019-08-28 22:31:32,-2.23759,True
-2.23310,3336861,True,2019-08-27 09:23:07,-2.23310,True
-2.22190,3496736,True,2019-08-28 09:02:21,-2.22190,True
-2.21819,3228072,True,2019-08-28 21:25:24,-2.21819,True
-2.21710,3295950,True,2019-08-27 05:18:28,-2.21710,True
-2.20809,3523820,True,2019-08-28 22:18:56,-2.20809,True
-2.20246,3236395,True,2019-08-28 11:00:43,-2.20246,True
-2.19603,3441393,True,2019-08-28 23:24:31,-2.19603,True
-2.19248,3296921,True,2019-08-28 23:49:39,-2.19248,True
-2.18971,3267697,True,2019-08-28 23:42:54,-2.18971,True
-2.18864,3305192,True,2019-08-28 15:06:42,-2.18864,True
-2.17881,3233530,True,2019-08-28 15:01:10,-2.17881,True
-2.17859,3238319,True,2019-08-28 18:54:29,-2.17859,True
-2.17839,3348670,True,2019-08-25 14:51:09,-2.17839,True
-2.17502,3342541,True,2019-08-28 21:43:09,-2.17502,True
-2.17466,3236682,True,2019-08-28 22:37:52,-2.17466,True
-2.17390,3319784,True,2019-08-28 10:49:16,-2.17390,True
-2.17301,3417754,True,2019-08-28 22:55:00,-2.17301,True
-2.16973,3419874,True,2019-08-28 19:16:11,-2.16973,True
-2.16735,3438034,True,2019-08-28 21:57:43,-2.16735,True
-2.16429,3229816,True,2019-08-28 17:43:57,-2.16429,True
-2.16153,3242090,True,2019-08-28 23:11:26,-2.16153,True
-2.16047,3236816,True,2019-08-28 21:13:25,-2.16047,True
-2.16040,3241239,True,2019-08-28 21:30:48,-2.16040,True
-2.15752,3257624,True,2019-08-28 23:45:32,-2.15752,True
-2.15564,3238511,True,2019-08-28 22:52:58,-2.15564,True
-2.14886,3246593,True,2019-08-25 10:12:02,-2.14886,True
-2.14530,3243801,True,2019-08-26 20:26:37,-2.14530,True
-2.14511,3231203,True,2019-08-28 19:23:56,-2.14511,True
-2.14361,3233000,True,2019-08-28 21:21:38,-2.14361,True
-2.14346,3294659,True,2019-08-28 14:37:45,-2.14346,True
-2.14291,3228627,True,2019-08-15 10:55:26,-2.14291,True
-2.14230,3290714,True,2019-08-28 09:15:54,-2.14230,True
-2.14194,3385570,True,2019-08-16 10:01:16,-2.14194,True
-2.14041,3270478,True,2019-08-27 09:15:05,-2.14041,True
-2.13957,3471010,True,2019-08-24 02:28:14,-2.13957,True
-2.13852,3229008,True,2019-08-28 17:47:18,-2.13852,True
-2.13746,3331734,True,2019-08-26 19:27:28,-2.13746,True
-2.13562,3242023,True,2019-08-28 07:11:20,-2.13562,True
-2.12997,3478346,True,2019-08-28 15:48:31,-2.12997,True
